LotArea,LotFrontage,TotalBsmtSF,BedroomAbvGr,Fireplaces,PoolArea,GarageCars,WoodDeckSF,ScreenPorch,Expensive,MSZoning,Condition1,Heating,Street,CentralAir,Foundation,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,KitchenQual,FireplaceQu,MSSubClass,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,OpenPorchSF,EnclosedPorch,3SsnPorch,MiscVal,MoSold,YrSold,Id,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,BsmtFinType2,HeatingQC,Electrical,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition
11200,70,1040,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,,20,5,5,1965,1965,0,906,0,134,1040,0,0,1040,1,0,1,0,1,5,1965,384,0,0,0,0,2,2008,11,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,Unf,Ex,SBrkr,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
11924,85,1175,4,2,0,3,147,0,1,RL,Norm,GasA,Pave,Y,PConc,Ex,TA,Ex,TA,No,GLQ,Ex,Gd,60,9,5,2005,2006,286,998,0,177,1182,1142,0,2324,1,0,3,0,1,11,2005,736,21,0,0,0,7,2006,12,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Unf,Ex,SBrkr,Typ,BuiltIn,Fin,TA,TA,Y,New,Partial
12968,,912,2,0,0,1,140,176,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,,20,5,6,1962,1962,0,737,0,175,912,0,0,912,1,0,1,0,1,4,1962,352,0,0,0,0,9,2008,13,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,Unf,TA,SBrkr,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
10652,91,1494,3,1,0,3,160,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,Unf,Gd,Gd,20,7,5,2006,2007,306,0,0,1494,1494,0,0,1494,0,0,2,0,1,7,2006,840,33,0,0,0,8,2007,14,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,New,Partial
10920,,1253,2,1,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,BLQ,TA,Fa,20,6,5,1960,1960,212,733,0,520,1253,0,0,1253,1,0,1,1,1,5,1960,352,213,176,0,0,5,2008,15,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Unf,TA,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
6120,51,832,2,0,0,2,48,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,Unf,TA,,45,7,8,1929,2001,0,0,0,832,854,0,0,854,0,0,1,0,1,5,1991,576,112,0,0,0,7,2007,16,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,Unf,Ex,FuseA,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
11241,,1004,2,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,TA,20,6,7,1970,1970,180,578,0,426,1004,0,0,1004,1,0,1,0,1,5,1970,480,0,0,0,700,3,2010,17,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Unf,Ex,SBrkr,Typ,Attchd,Fin,TA,TA,Y,WD,Normal
10791,72,0,2,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,Slab,TA,TA,,,,,TA,,90,4,5,1967,1967,0,0,0,0,1296,0,0,1296,0,0,2,0,2,6,1967,516,0,0,0,500,10,2006,18,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,,TA,SBrkr,Typ,CarPort,Unf,TA,TA,Y,WD,Normal
13695,66,1114,3,0,0,2,0,0,0,RL,RRAe,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,GLQ,Gd,,20,5,5,2004,2004,0,646,0,468,1114,0,0,1114,1,0,1,1,1,6,2004,576,102,0,0,0,6,2008,19,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Unf,Ex,SBrkr,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
7560,70,1029,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,LwQ,TA,,20,5,6,1958,1965,0,504,0,525,1339,0,0,1339,0,0,1,0,1,6,1958,294,0,0,0,0,5,2009,20,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,Unf,TA,SBrkr,Min1,Attchd,Unf,TA,TA,Y,COD,Abnorml
14215,101,1158,4,1,0,3,240,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,Unf,Gd,Gd,60,8,5,2005,2006,380,0,0,1158,1158,1218,0,2376,0,0,3,1,1,9,2005,853,154,0,0,0,11,2006,21,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Unf,Ex,SBrkr,Typ,BuiltIn,RFn,TA,TA,Y,New,Partial
7449,57,637,3,1,0,1,0,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,Unf,Gd,Gd,45,7,7,1930,1950,0,0,0,637,1108,0,0,1108,0,0,1,0,1,6,1930,280,0,205,0,0,6,2007,22,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,Unf,Ex,FuseF,Typ,Attchd,Unf,TA,TA,N,WD,Normal
9742,75,1777,3,1,0,2,171,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,Gd,20,8,5,2002,2002,281,0,0,1777,1795,0,0,1795,0,0,2,0,1,7,2002,534,159,0,0,0,9,2008,23,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
4224,44,1040,3,1,0,2,100,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,TA,TA,120,5,7,1976,1976,0,840,0,200,1060,0,0,1060,1,0,1,0,1,6,1976,572,110,0,0,0,6,2007,24,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,Unf,TA,SBrkr,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
8246,,1060,3,1,0,1,406,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,TA,TA,Mn,Rec,Gd,TA,20,5,8,1968,2001,0,188,668,204,1060,0,0,1060,1,0,1,0,1,6,1968,270,90,0,0,0,5,2010,25,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,ALQ,Ex,SBrkr,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
14230,110,1566,3,1,0,3,0,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,Gd,20,8,5,2007,2007,640,0,0,1566,1600,0,0,1600,0,0,2,0,1,7,2007,890,56,0,0,0,7,2009,26,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
7200,60,900,3,0,0,2,222,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,Mn,BLQ,Gd,,20,5,7,1951,2000,0,234,486,180,900,0,0,900,0,1,1,0,1,5,2005,576,32,0,0,0,5,2010,27,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,Rec,TA,SBrkr,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
11478,98,1704,3,1,0,3,0,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,No,GLQ,Gd,Gd,20,8,5,2007,2008,200,1218,0,486,1704,0,0,1704,1,0,2,0,1,7,2008,772,50,0,0,0,5,2010,28,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
16321,47,1484,2,2,0,1,288,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,Gd,BLQ,TA,Gd,20,5,6,1957,1997,0,1277,0,207,1600,0,0,1600,1,0,1,0,1,6,1957,319,258,0,0,0,12,2006,29,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,Unf,TA,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
6324,60,520,1,0,0,1,49,0,0,RM,Feedr,GasA,Pave,N,BrkTil,TA,TA,TA,TA,No,Unf,Fa,,30,4,6,1927,1950,0,0,0,520,520,0,0,520,0,0,1,0,1,4,1920,240,0,87,0,0,5,2008,30,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,Unf,Fa,SBrkr,Typ,Detchd,Unf,Fa,TA,Y,WD,Normal
8500,50,649,3,0,0,1,0,0,0,C (all),Feedr,GasA,Pave,N,BrkTil,TA,Fa,TA,TA,No,Unf,TA,,70,4,4,1920,1950,0,0,0,649,649,668,0,1317,0,0,1,0,1,6,1920,250,54,172,0,0,7,2008,31,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,Unf,TA,SBrkr,Typ,Detchd,Unf,TA,Fa,N,WD,Normal
8544,,1228,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Unf,Gd,,20,5,6,1966,2006,0,0,0,1228,1228,0,0,1228,0,0,1,1,1,6,1966,271,65,0,0,0,6,2008,32,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,Unf,Gd,SBrkr,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
11049,85,1234,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,Unf,Gd,,20,8,5,2007,2007,0,0,0,1234,1234,0,0,1234,0,0,2,0,1,7,2007,484,30,0,0,0,1,2008,33,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
10552,70,1398,4,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,Gd,Gd,20,5,5,1959,1959,0,1018,0,380,1700,0,0,1700,0,1,1,1,1,6,1959,447,38,0,0,0,4,2010,34,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,Unf,Gd,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
7313,60,1561,2,1,0,2,203,0,1,RL,Norm,GasA,Pave,Y,PConc,Ex,TA,Ex,TA,No,GLQ,Ex,Gd,120,9,5,2005,2005,246,1153,0,408,1561,0,0,1561,1,0,2,0,1,6,2005,556,47,0,0,0,8,2007,35,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Unf,Ex,SBrkr,Typ,Attchd,Fin,TA,TA,Y,WD,Normal
13418,108,1117,4,1,0,3,113,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,Unf,Gd,Gd,60,8,5,2004,2005,132,0,0,1117,1132,1320,0,2452,0,0,3,1,1,9,2004,691,32,0,0,0,9,2006,36,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Unf,Ex,SBrkr,Typ,BuiltIn,Fin,TA,TA,Y,WD,Normal
10859,112,1097,3,0,0,2,392,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,Unf,TA,,20,5,5,1994,1995,0,0,0,1097,1097,0,0,1097,0,0,1,1,1,6,1995,672,64,0,0,0,6,2009,37,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Unf,Ex,SBrkr,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
8532,74,1297,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,TA,20,5,6,1954,1990,650,1213,0,84,1297,0,0,1297,0,1,1,0,1,5,1954,498,0,0,0,0,10,2009,38,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,Unf,Gd,SBrkr,Typ,Attchd,Fin,TA,TA,Y,WD,Normal
7922,68,1057,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,TA,TA,No,GLQ,Gd,,20,5,7,1953,2007,0,731,0,326,1057,0,0,1057,1,0,1,0,1,5,1953,246,52,0,0,0,1,2010,39,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Unf,TA,SBrkr,Typ,Detchd,Unf,TA,TA,Y,WD,Abnorml
6040,65,0,2,0,0,0,0,0,0,RL,Norm,GasA,Pave,N,PConc,TA,TA,,,,,Fa,,90,4,5,1955,1955,0,0,0,0,1152,0,0,1152,0,0,2,0,2,6,,0,0,0,0,0,6,2008,40,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,,TA,FuseP,Typ,,,,,N,WD,AdjLand
8658,84,1088,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,TA,20,6,5,1965,1965,101,643,0,445,1324,0,0,1324,0,0,2,0,1,6,1965,440,138,0,0,0,12,2006,41,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Abnorml
16905,115,1350,2,2,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,TA,TA,Gd,BLQ,TA,Gd,20,5,6,1959,1959,0,967,0,383,1328,0,0,1328,0,1,1,1,1,5,1959,308,104,0,0,0,7,2007,42,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Unf,Gd,SBrkr,Typ,Attchd,RFn,TA,TA,P,WD,Normal
9180,,840,2,0,0,2,240,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Av,ALQ,Gd,,85,5,7,1983,1983,0,747,93,0,884,0,0,884,1,0,1,0,1,5,1983,504,0,0,0,0,12,2007,43,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,LwQ,Gd,SBrkr,Typ,Attchd,RFn,TA,Gd,Y,WD,Normal
9200,,938,3,0,0,1,145,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Av,LwQ,TA,,20,5,6,1975,1980,0,280,491,167,938,0,0,938,1,0,1,0,1,5,1977,308,0,0,0,0,7,2008,44,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,BLQ,TA,SBrkr,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
7945,70,1150,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,,20,5,6,1959,1959,0,179,506,465,1150,0,0,1150,1,0,1,0,1,6,1959,300,0,0,0,0,5,2006,45,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,BLQ,Ex,FuseA,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
7658,61,1752,2,1,0,2,196,0,1,RL,Norm,GasA,Pave,Y,PConc,Ex,TA,Ex,TA,No,GLQ,Ex,Gd,120,9,5,2005,2005,412,456,0,1296,1752,0,0,1752,1,0,2,0,1,6,2005,576,82,0,0,0,2,2010,46,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
12822,48,1434,1,1,0,2,168,198,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,No,GLQ,Gd,Ex,50,7,5,2003,2003,0,1351,0,83,1518,631,0,2149,1,0,1,1,1,6,2003,670,43,0,0,0,8,2009,47,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Abnorml
11096,84,1656,3,0,0,3,0,0,0,FV,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,GLQ,Gd,,20,8,5,2006,2006,0,24,0,1632,1656,0,0,1656,0,0,2,0,1,7,2006,826,146,0,0,0,7,2007,48,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
4456,33,736,2,0,0,0,0,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,Unf,TA,,190,4,5,1920,2008,0,0,0,736,736,716,0,1452,0,0,2,0,3,8,,0,0,102,0,0,6,2009,49,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,Unf,Gd,SBrkr,Typ,,,,,N,New,Partial
7742,66,955,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,BLQ,TA,,20,5,7,1966,1966,0,763,0,192,955,0,0,955,1,0,1,0,1,6,1966,386,0,0,0,0,1,2007,50,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,Unf,Ex,SBrkr,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
13869,,794,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,Av,GLQ,TA,,60,6,6,1997,1997,0,182,0,612,794,676,0,1470,0,1,2,0,1,6,1997,388,75,0,0,0,7,2007,51,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Unf,Gd,SBrkr,Typ,Attchd,Fin,TA,TA,Y,WD,Normal
6240,52,816,3,1,0,2,112,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,Unf,TA,Gd,50,6,6,1934,1950,0,0,0,816,816,0,360,1176,0,0,1,0,1,6,1985,528,0,0,0,400,9,2006,52,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,Unf,TA,SBrkr,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
8472,110,816,2,0,0,2,106,0,0,RM,RRNn,GasA,Grvl,N,CBlock,Fa,TA,Gd,TA,Gd,LwQ,TA,,90,5,5,1963,1963,0,104,712,0,816,0,0,816,1,0,1,0,1,5,1963,516,0,0,0,0,5,2010,53,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,Norm,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,GLQ,TA,SBrkr,Typ,CarPort,Unf,TA,TA,Y,WD,Normal
